instancia,n,m,makespan_neh,tiempo_neh,makespan_palmer,tiempo_palmer,makespan_neh_swap,tiempo_neh_swap,makespan_neh_insert,tiempo_neh_insert,makespan_palmer_swap,tiempo_palmer_swap,makespan_palmer_insert,tiempo_palmer_insert,makespan_neh_swap_insert,tiempo_neh_swap_insert,makespan_neh_insert_swap,tiempo_neh_insert_swap
 instance car2,13,4,6929,0.3689,10351,0.0169,6929,0.7414,6719,1.1736,6719,2.1842,6719,3.9858,6719,0.5893,6719,0.5909
 instance car3,12,5,7086,0.1242,10892,0.0085,7027,0.2974,7027,0.4810,7892,0.5335,7025,2.4145,7027,0.5194,7027,0.5843
 instance car4,14,4,7307,0.1557,10183,0.0055,7307,0.3013,7307,0.4637,7727,0.6011,7307,1.6637,7307,0.6289,7307,0.6505
 instance car5,10,6,7488,0.0740,9728,0.0184,7337,0.2053,7488,0.2173,7488,0.2655,7337,0.8073,7337,0.3647,7337,0.3812
 instance car6,8,9,8091,0.0533,10583,0.0045,8091,0.0978,8091,0.1499,8091,0.2805,8361,0.3102,8091,0.1974,8091,0.2864
 instance car7,7,7,6335,0.0582,8181,0.0073,6335,0.0946,6335,0.1886,6471,0.1095,6471,0.2582,6335,0.1908,6335,0.1871
 instance car8,8,8,7765,0.0834,9728,0.0077,7765,0.1444,7765,0.2393,8440,0.2614,7765,0.5928,7765,0.3182,7765,0.3072
 instance hel1,100,10,519,67.7983,696,0.0597,517,181.3433,517,428.4366,525,948.3343,525,3287.2781,515,631.2880,517,535.2611
 instance hel2,20,10,140,0.6374,184,0.0108,140,1.6345,140,2.2911,143,3.6562,146,5.4066,140,2.9669,140,2.8944
 instance reC01,20,5,1243,0.4141,1633,0.0141,1236,1.2016,1236,2.0811,1246,4.8527,1256,8.0975,1236,2.5045,1236,2.5465
 instance reC03,20,5,1089,0.4100,1529,0.0090,1089,0.9354,1077,2.7842,1156,3.2515,1084,10.5480,1077,3.2453,1077,3.1934
 instance reC05,20,5,1210,0.3998,1622,0.0079,1210,0.8741,1210,1.9232,1236,3.8352,1234,9.4130,1210,2.0444,1210,2.0669
 instance reC07,20,10,1598,0.6049,2098,0.0120,1598,1.3967,1598,2.1361,1585,6.4485,1556,11.9753,1598,2.8242,1598,2.9948
 instance reC09,20,10,1557,0.5969,2088,0.0102,1543,1.7540,1546,2.2698,1661,2.5251,1533,13.6260,1543,3.4601,1546,2.9468
 instance reC11,20,10,1459,0.6000,2012,0.0108,1420,3.3786,1436,5.2741,1520,5.9194,1429,18.6610,1417,5.7724,1433,6.2095
 instance reC13,20,15,1940,0.8881,2482,0.0156,1928,1.9536,1919,3.3809,1973,12.5055,1916,46.0779,1919,4.1792,1919,4.2235
 instance reC15,20,15,1959,0.7332,2443,0.0118,1947,2.3651,1935,4.3956,2014,7.0053,2006,12.6456,1938,5.4047,1932,6.1124
 instance reC17,20,15,2031,0.7296,2531,0.0131,1966,2.5232,1952,12.2843,1966,5.9907,1918,17.9533,1945,7.6876,1952,8.2322
 instance reC19,30,10,2127,1.9462,2800,0.0159,2118,5.9791,2081,24.3979,2113,41.7013,2135,67.1914,2093,22.6535,2081,28.3622
 instance reC21,30,10,2016,1.9580,2888,0.0171,2014,8.6676,2016,7.4715,2049,30.2909,2036,77.6897,2014,13.2328,2014,12.4756
 instance reC23,30,10,2078,1.8664,2893,0.0157,2058,10.2482,2048,16.1945,2096,20.4240,2085,54.0374,2042,18.8006,2048,18.3112
 instance reC25,30,15,2643,2.7872,3237,0.0201,2579,16.0116,2583,23.6258,2606,43.8770,2588,117.3090,2517,66.0838,2580,27.8046
 instance reC27,30,15,2468,2.2498,3214,0.0173,2405,24.2457,2402,31.6364,2442,49.7000,2370,121.2000,2383,50.1955,2402,40.9515
 instance reC29,30,15,2384,2.5831,3192,0.0209,2371,13.7120,2359,11.9019,2448,31.1563,2323,113.5772,2359,21.0687,2359,14.8016
 instance reC31,50,10,3161,8.5536,4047,0.0286,3124,73.2475,3143,45.3573,3363,77.9742,3217,538.2369,3124,96.5266,3143,62.4565
 instance reC33,50,10,3145,10.5533,4298,0.0303,3118,28.4202,3111,47.8610,3143,191.6630,3132,561.8557,3111,79.5610,3111,66.6119
 instance reC35,50,10,3310,8.5820,4343,0.0259,3281,33.1829,3289,44.7324,3316,126.1359,3275,450.5125,3272,93.7189,3289,58.8026
 instance reC37,75,20,5237,44.2542,6744,0.0491,5095,1137.7744,5217,225.1119,5260,1689.7017,5256,6247.9458,5088,1220.6290,5217,301.6516
 instance reC39,75,20,5259,44.0798,6604,0.0502,5185,406.4508,5189,1094.6852,5356,1083.8498,5349,2831.4410,5185,542.5719,5189,1149.9711
 instance reC41,75,20,5221,44.9671,6665,0.0623,5161,782.4695,5195,501.3017,5188,1738.2789,5174,5528.1043,5139,1409.2216,5195,537.7012
PROMEDIO,,,3493.1667,8.3037,4662.9667,0.0199,3463.1333,91.3884,3464.3667,84.8149,3574.4333,204.4438,3484.2667,672.0272,3448.2000,143.6150,3458.9667,96.6524
